name,neighborhood,primary_type,rating,price_level,review_count,weekend_open_days,opens_on_weekend
Ruta Vaga,El Poblado,bar,5.0,0,5,1,True
Lollipop club,El Poblado,night_club,5.0,0,5,1,True
Tejipaz - Café de la Memoria - Provenza,El Poblado,bar,5.0,0,5,2,True
La Llorona Taquería,El Poblado,restaurant,5.0,0,5,1,True
Terra Maaru (café restaurante natural),El Poblado,restaurant,5.0,0,5,1,True
Monte Capra,El Poblado,cafe,5.0,0,5,1,True
Parque de las Mariposas,Rocio de la Mañana,park,5.0,0,5,0,False
Arte Alto | Galería de arte,El Poblado,art_gallery,5.0,0,5,0,False
El parche de la mazamorra,Zona 9,cafe,5.0,0,5,2,True
SILO Cocina,Cl. 2 Sur #25 115 Piso 6,restaurant,5.0,0,5,2,True
Lucerito,El Poblado,cafe,5.0,0,5,1,True
Casa Loop,El Poblado,bakery,5.0,0,5,2,True
"Porteño, carnes y parrilla",Envigado,restaurant,5.0,0,5,2,True
Amor y Arte Fundación,El Poblado,art_gallery,5.0,0,5,1,True
Galería La Cometa,El Poblado,art_gallery,5.0,0,5,1,True
Public house,El Poblado,bar,5.0,0,5,0,False
Magdalena Cocina Local,Guayabal,restaurant,5.0,0,5,1,True
Massivo Café - Coffee shop,El Poblado,cafe,5.0,0,5,0,False
Kokoa Sushi Wok,Poblado,restaurant,5.0,0,5,1,True
Hakuna Beer,Cl 30A Sur #44 A 7,bar,5.0,0,5,2,True
Cookie House By AngeOlano,El Poblado,cafe,5.0,0,5,0,False
Coffe shop WEFROST,El Poblado,cafe,5.0,0,5,0,False
Cuatro Vientos Mercado de Origen,El Poblado,cafe,5.0,0,5,1,True
Chocoro,El Poblado,cafe,5.0,0,5,1,True
Chef a Domicilio Medellín,El Poblado,restaurant,5.0,0,5,1,True
Mala copa bar,Poblado,bar,5.0,0,5,2,True
Mariachi Evolución Medellín,Medellín,bakery,5.0,0,5,2,True
Las Cazuelas,Cl. 18C Sur #43a 200,restaurant,5.0,0,5,0,False
Cattleya Café,Dg. 29d #9SUR 79,restaurant,5.0,0,5,2,True
Parque Bosques de la Frontera Etapa 2,El Poblado,park,5.0,0,5,2,True
Cálmate Chico,El Poblado,bar,5.0,0,5,1,True
Kawaii Crepes,El Poblado,restaurant,5.0,0,5,1,True
Sommele Casa de Vinos,El Poblado,bar,5.0,0,5,0,False
Usual Vinos & Café,El Poblado,bar,5.0,0,5,1,True
Bocaditos y al carbón,Villa Isa Tamarindo,restaurant,5.0,0,5,2,True
Hot chicken co,El Poblado,restaurant,5.0,0,5,2,True
Barhopping Medellín,El Poblado,bar,5.0,0,5,1,True
La Peligrosa [Parche-Bar],El Poblado,bar,5.0,0,5,2,True
DoSabores,El Poblado,restaurant,5.0,0,5,0,False
"Boutique del Whisky | Bar de licores premium | El Poblado, Medellín",El Poblado,bar,5.0,0,5,1,True
Matrianas,El Poblado,meal_delivery,5.0,0,5,2,True
InHouse Coworking & Coffee,El Poblado,cafe,5.0,0,5,0,False
Elite Milano Club,El Poblado,night_club,5.0,0,5,0,False
Bread Factory San Fernando,El Poblado,cafe,5.0,0,5,0,False
ZONA30,Zona 2,bar,5.0,0,5,2,True
PIANISTA EVENTOS JORGE QUINCHIA. Musica Eventos y Eucaristias.,Guayabal,bar,5.0,0,5,2,True
Lácteos Vivian S.A.S,Zona 9,cafe,5.0,0,5,2,True
Alacarta VIP,El Poblado,night_club,5.0,0,5,2,True
Tartina,El Poblado,cafe,5.0,0,5,1,True
☕️ latienda.delcafé - El Tesoro,Loma El Tesoro con,cafe,5.0,0,5,2,True
